time,values
0.002,-0.272
0.004,-0.272
0.006,-0.272
0.008,-0.272
0.01,-0.284
0.012,-0.284
0.014,-0.284
0.016,-0.284
0.018,-0.295
0.02,-0.295
0.022,-0.295
0.024,-0.295
0.026,-0.304
0.028,-0.304
0.03,-0.304
0.032,-0.304
0.034,-0.311
0.036,-0.311
0.038,-0.311
0.04,-0.311
0.042,-0.318
0.044,-0.318
0.046,-0.318
0.048,-0.318
0.05,-0.324
0.052,-0.324
0.054,-0.324
0.056,-0.324
0.058,-0.329
0.06,-0.329
0.062,-0.329
0.064,-0.329
0.066,-0.335
0.068,-0.335
0.07,-0.335
0.072,-0.335
0.074,-0.343
0.076,-0.343
0.078,-0.343
0.08,-0.343
0.082,-0.353
0.084,-0.353
0.086,-0.353
0.088,-0.353
0.09,-0.366
0.092,-0.366
0.094,-0.366
0.096,-0.366
0.098,-0.38
0.1,-0.38
0.102,-0.38
0.104,-0.38
0.106,-0.393
0.108,-0.393
0.11,-0.393
0.112,-0.393
0.114,-0.407
0.116,-0.407
0.118,-0.407
0.12,-0.407
0.122,-0.421
0.124,-0.421
0.126,-0.421
0.128,-0.421
0.13,-0.436
0.132,-0.436
0.134,-0.436
0.136,-0.436
0.138,-0.452
0.14,-0.452
0.142,-0.452
0.144,-0.452
0.146,-0.469
0.148,-0.469
0.15,-0.469
0.152,-0.469
0.154,-0.486
0.156,-0.486
0.158,-0.486
0.16,-0.486
0.162,-0.504
0.164,-0.504
0.166,-0.504
0.168,-0.504
0.17,-0.521
0.172,-0.521
0.174,-0.521
0.176,-0.521
0.178,-0.537
0.18,-0.537
0.182,-0.537
0.184,-0.537
0.186,-0.553
0.188,-0.553
0.19,-0.553
0.192,-0.553
0.194,-0.568
0.196,-0.568
0.198,-0.568
0.2,-0.568
0.202,-0.581
0.204,-0.581
0.206,-0.581
0.208,-0.581
0.21,-0.591
0.212,-0.591
0.214,-0.591
0.216,-0.591
0.218,-0.6
0.22,-0.6
0.222,-0.6
0.224,-0.6
0.226,-0.608
0.228,-0.608
0.23,-0.608
0.232,-0.608
0.234,-0.616
0.236,-0.616
0.238,-0.616
0.24,-0.616
0.242,-0.624
0.244,-0.624
0.246,-0.624
0.248,-0.624
0.25,-0.632
0.252,-0.632
0.254,-0.632
0.256,-0.632
0.258,-0.639
0.26,-0.639
0.262,-0.639
0.264,-0.639
0.266,-0.647
0.268,-0.647
0.27,-0.647
0.272,-0.647
0.274,-0.654
0.276,-0.654
0.278,-0.654
0.28,-0.654
0.282,-0.662
0.284,-0.662
0.286,-0.662
0.288,-0.662
0.29,-0.669
0.292,-0.669
0.294,-0.669
0.296,-0.669
0.298,-0.677
0.3,-0.677
0.302,-0.677
0.304,-0.677
0.306,-0.686
0.308,-0.686
0.31,-0.686
0.312,-0.686
0.314,-0.695
0.316,-0.695
0.318,-0.695
0.32,-0.695
0.322,-0.703
0.324,-0.703
0.326,-0.703
0.328,-0.703
0.33,-0.711
0.332,-0.711
0.334,-0.711
0.336,-0.711
0.338,-0.717
0.34,-0.717
0.342,-0.717
0.344,-0.717
0.346,-0.723
0.348,-0.723
0.35,-0.723
0.352,-0.723
0.354,-0.728
0.356,-0.728
0.358,-0.728
0.36,-0.728
0.362,-0.733
0.364,-0.733
0.366,-0.733
0.368,-0.733
0.37,-0.737
0.372,-0.737
0.374,-0.737
0.376,-0.737
0.378,-0.741
0.38,-0.741
0.382,-0.741
0.384,-0.741
0.386,-0.744
0.388,-0.744
0.39,-0.744
0.392,-0.744
0.394,-0.746
0.396,-0.746
0.398,-0.746
0.4,-0.746
0.402,-0.747
0.404,-0.747
0.406,-0.747
0.408,-0.747
0.41,-0.748
0.412,-0.748
0.414,-0.748
0.416,-0.748
0.418,-0.749
0.42,-0.749
0.422,-0.749
0.424,-0.749
0.426,-0.749
0.428,-0.749
0.43,-0.749
0.432,-0.749
0.434,-0.75
0.436,-0.75
0.438,-0.75
0.44,-0.75
0.442,-0.75
0.444,-0.75
0.446,-0.75
0.448,-0.75
0.45,-0.75
0.452,-0.75
0.454,-0.75
0.456,-0.75
0.458,-0.749
0.46,-0.749
0.462,-0.749
0.464,-0.749
0.466,-0.747
0.468,-0.747
0.47,-0.747
0.472,-0.747
0.474,-0.745
0.476,-0.745
0.478,-0.745
0.48,-0.745
0.482,-0.742
0.484,-0.742
0.486,-0.742
0.488,-0.742
0.49,-0.739
0.492,-0.739
0.494,-0.739
0.496,-0.739
0.498,-0.737
0.5,-0.737
0.502,-0.737
0.504,-0.737
0.506,-0.736
0.508,-0.736
0.51,-0.736
0.512,-0.736
0.514,-0.734
0.516,-0.734
0.518,-0.734
0.52,-0.734
0.522,-0.732
0.524,-0.732
0.526,-0.732
0.528,-0.732
0.53,-0.729
0.532,-0.729
0.534,-0.729
0.536,-0.729
0.538,-0.725
0.54,-0.725
0.542,-0.725
0.544,-0.725
0.546,-0.72
0.548,-0.72
0.55,-0.72
0.552,-0.72
0.554,-0.715
0.556,-0.715
0.558,-0.715
0.56,-0.715
0.562,-0.708
0.564,-0.708
0.566,-0.708
0.568,-0.708
0.57,-0.701
0.572,-0.701
0.574,-0.701
0.576,-0.701
0.578,-0.694
0.58,-0.694
0.582,-0.694
0.584,-0.694
0.586,-0.688
0.588,-0.688
0.59,-0.688
0.592,-0.688
0.594,-0.681
0.596,-0.681
0.598,-0.681
0.6,-0.681
0.602,-0.676
0.604,-0.676
0.606,-0.676
0.608,-0.676
0.61,-0.671
0.612,-0.671
0.614,-0.671
0.616,-0.671
0.618,-0.667
0.62,-0.667
0.622,-0.667
0.624,-0.667
0.626,-0.664
0.628,-0.664
0.63,-0.664
0.632,-0.664
0.634,-0.662
0.636,-0.662
0.638,-0.662
0.64,-0.662
0.642,-0.66
0.644,-0.66
0.646,-0.66
0.648,-0.66
0.65,-0.658
0.652,-0.658
0.654,-0.658
0.656,-0.658
0.658,-0.656
0.66,-0.656
0.662,-0.656
0.664,-0.656
0.666,-0.654
0.668,-0.654
0.67,-0.654
0.672,-0.654
0.674,-0.651
0.676,-0.651
0.678,-0.651
0.68,-0.651
0.682,-0.646
0.684,-0.646
0.686,-0.646
0.688,-0.646
0.69,-0.64
0.692,-0.64
0.694,-0.64
0.696,-0.64
0.698,-0.633
0.7,-0.633
0.702,-0.633
0.704,-0.633
0.706,-0.625
0.708,-0.625
0.71,-0.625
0.712,-0.625
0.714,-0.619
0.716,-0.619
0.718,-0.619
0.72,-0.619
0.722,-0.613
0.724,-0.613
0.726,-0.613
0.728,-0.613
0.73,-0.608
0.732,-0.608
0.734,-0.608
0.736,-0.608
0.738,-0.602
0.74,-0.602
0.742,-0.602
0.744,-0.602
0.746,-0.595
0.748,-0.595
0.75,-0.595
0.752,-0.595
0.754,-0.587
0.756,-0.587
0.758,-0.587
0.76,-0.587
0.762,-0.578
0.764,-0.578
0.766,-0.578
0.768,-0.578
0.77,-0.569
0.772,-0.569
0.774,-0.569
0.776,-0.569
0.778,-0.559
0.78,-0.559
0.782,-0.559
0.784,-0.559
0.786,-0.55
0.788,-0.55
0.79,-0.55
0.792,-0.55
0.794,-0.54
0.796,-0.54
0.798,-0.54
0.8,-0.54
0.802,-0.53
0.804,-0.53
0.806,-0.53
0.808,-0.53
0.81,-0.517
0.812,-0.517
0.814,-0.517
0.816,-0.517
0.818,-0.503
0.82,-0.503
0.822,-0.503
0.824,-0.503
0.826,-0.488
0.828,-0.488
0.83,-0.488
0.832,-0.488
0.834,-0.472
0.836,-0.472
0.838,-0.472
0.84,-0.472
0.842,-0.457
0.844,-0.457
0.846,-0.457
0.848,-0.457
0.85,-0.441
0.852,-0.441
0.854,-0.441
0.856,-0.441
0.858,-0.425
0.86,-0.425
0.862,-0.425
0.864,-0.425
0.866,-0.41
0.868,-0.41
0.87,-0.41
0.872,-0.41
0.874,-0.396
0.876,-0.396
0.878,-0.396
0.88,-0.396
0.882,-0.382
0.884,-0.382
0.886,-0.382
0.888,-0.382
0.89,-0.369
0.892,-0.369
0.894,-0.369
0.896,-0.369
0.898,-0.356
0.9,-0.356
0.902,-0.356
0.904,-0.356
0.906,-0.343
0.908,-0.343
0.91,-0.343
0.912,-0.343
0.914,-0.329
0.916,-0.329
0.918,-0.329
0.92,-0.329
0.922,-0.316
0.924,-0.316
0.926,-0.316
0.928,-0.316
0.93,-0.302
0.932,-0.302
0.934,-0.302
0.936,-0.302
0.938,-0.289
0.94,-0.289
0.942,-0.289
0.944,-0.289
0.946,-0.277
0.948,-0.277
0.95,-0.277
0.952,-0.277
0.954,-0.265
0.956,-0.265
0.958,-0.265
0.96,-0.265
0.962,-0.253
0.964,-0.253
0.966,-0.253
0.968,-0.253
0.97,-0.24
0.972,-0.24
0.974,-0.24
0.976,-0.24
0.978,-0.228
0.98,-0.228
0.982,-0.228
0.984,-0.228
0.986,-0.214
0.988,-0.214
0.99,-0.214
0.992,-0.214
0.994,-0.202
0.996,-0.202
0.998,-0.202
1,-0.202
1.002,-0.189
1.004,-0.189
1.006,-0.189
1.008,-0.189
1.01,-0.175
1.012,-0.175
1.014,-0.175
1.016,-0.175
1.018,-0.162
1.02,-0.162
1.022,-0.162
1.024,-0.162
1.026,-0.148
1.028,-0.148
1.03,-0.148
1.032,-0.148
1.034,-0.135
1.036,-0.135
1.038,-0.135
1.04,-0.135
1.042,-0.121
1.044,-0.121
1.046,-0.121
1.048,-0.121
1.05,-0.107
1.052,-0.107
1.054,-0.107
1.056,-0.107
1.058,-0.093
1.06,-0.093
1.062,-0.093
1.064,-0.093
1.066,-0.079
1.068,-0.079
1.07,-0.079
1.072,-0.079
1.074,-0.064
1.076,-0.064
1.078,-0.064
1.08,-0.064
1.082,-0.048
1.084,-0.048
1.086,-0.048
1.088,-0.048
1.09,-0.032
1.092,-0.032
1.094,-0.032
1.096,-0.032
1.098,-0.018
1.1,-0.018
1.102,-0.018
1.104,-0.018
1.106,-0.004
1.108,-0.004
1.11,-0.004
1.112,-0.004
1.114,0.01
1.116,0.01
1.118,0.01
1.12,0.01
1.122,0.024
1.124,0.024
1.126,0.024
1.128,0.024
1.13,0.037
1.132,0.037
1.134,0.037
1.136,0.037
1.138,0.052
1.14,0.052
1.142,0.052
1.144,0.052
1.146,0.068
1.148,0.068
1.15,0.068
1.152,0.068
1.154,0.083
1.156,0.083
1.158,0.083
1.16,0.083
1.162,0.097
1.164,0.097
1.166,0.097
1.168,0.097
1.17,0.11
1.172,0.11
1.174,0.11
1.176,0.11
1.178,0.123
1.18,0.123
1.182,0.123
1.184,0.123
1.186,0.137
1.188,0.137
1.19,0.137
1.192,0.137
1.194,0.151
1.196,0.151
1.198,0.151
1.2,0.151
1.202,0.167
1.204,0.167
1.206,0.167
1.208,0.167
1.21,0.184
1.212,0.184
1.214,0.184
1.216,0.184
1.218,0.201
1.22,0.201
1.222,0.201
1.224,0.201
1.226,0.215
1.228,0.215
1.23,0.215
1.232,0.215
1.234,0.229
1.236,0.229
1.238,0.229
1.24,0.229
1.242,0.24
1.244,0.24
1.246,0.24
1.248,0.24
1.25,0.25
1.252,0.25
1.254,0.25
1.256,0.25
1.258,0.256
1.26,0.256
1.262,0.256
1.264,0.256
1.266,0.258
1.268,0.258
1.27,0.258
1.272,0.258
1.274,0.257
1.276,0.257
1.278,0.257
1.28,0.257
1.282,0.252
1.284,0.252
1.286,0.252
1.288,0.252
1.29,0.241
1.292,0.241
1.294,0.241
1.296,0.241
1.298,0.226
1.3,0.226
1.302,0.226
1.304,0.226
1.306,0.207
1.308,0.207
1.31,0.207
1.312,0.207
1.314,0.185
1.316,0.185
1.318,0.185
1.32,0.185
1.322,0.163
1.324,0.163
1.326,0.163
1.328,0.163
1.33,0.139
1.332,0.139
1.334,0.139
1.336,0.139
1.338,0.114
1.34,0.114
1.342,0.114
1.344,0.114
1.346,0.088
1.348,0.088
1.35,0.088
1.352,0.088
1.354,0.064
1.356,0.064
1.358,0.064
1.36,0.064
1.362,0.04
1.364,0.04
1.366,0.04
1.368,0.04
1.37,0.017
1.372,0.017
1.374,0.017
1.376,0.017
1.378,-0.007
1.38,-0.007
1.382,-0.007
1.384,-0.007
1.386,-0.03
1.388,-0.03
1.39,-0.03
1.392,-0.03
1.394,-0.053
1.396,-0.053
1.398,-0.053
1.4,-0.053
1.402,-0.075
1.404,-0.075
1.406,-0.075
1.408,-0.075
1.41,-0.098
1.412,-0.098
1.414,-0.098
1.416,-0.098
1.418,-0.119
1.42,-0.119
1.422,-0.119
1.424,-0.119
1.426,-0.14
1.428,-0.14
1.43,-0.14
1.432,-0.14
1.434,-0.16
1.436,-0.16
1.438,-0.16
1.44,-0.16
1.442,-0.178
1.444,-0.178
1.446,-0.178
1.448,-0.178
1.45,-0.197
1.452,-0.197
1.454,-0.197
1.456,-0.197
1.458,-0.213
1.46,-0.213
1.462,-0.213
1.464,-0.213
1.466,-0.23
1.468,-0.23
1.47,-0.23
1.472,-0.23
1.474,-0.243
1.476,-0.243
1.478,-0.243
1.48,-0.243
1.482,-0.253
1.484,-0.253
1.486,-0.253
1.488,-0.253
1.49,-0.259
1.492,-0.259
1.494,-0.259
1.496,-0.259
1.498,-0.262
1.5,-0.262
1.502,-0.262
1.504,-0.262
1.506,-0.262
1.508,-0.262
1.51,-0.262
1.512,-0.262
1.514,-0.261
1.516,-0.261
1.518,-0.261
1.52,-0.261
1.522,-0.259
1.524,-0.259
1.526,-0.259
1.528,-0.259
1.53,-0.256
1.532,-0.256
1.534,-0.256
1.536,-0.256
1.538,-0.253
1.54,-0.253
1.542,-0.253
1.544,-0.253
1.546,-0.251
1.548,-0.251
1.55,-0.251
1.552,-0.251
1.554,-0.248
1.556,-0.248
1.558,-0.248
1.56,-0.248
1.562,-0.246
1.564,-0.246
1.566,-0.246
1.568,-0.246
1.57,-0.246
1.572,-0.246
1.574,-0.246
1.576,-0.246
1.578,-0.249
1.58,-0.249
1.582,-0.249
1.584,-0.249
1.586,-0.254
1.588,-0.254
1.59,-0.254
1.592,-0.254
1.594,-0.261
1.596,-0.261
1.598,-0.261
1.6,-0.261
1.602,-0.269
1.604,-0.269
1.606,-0.269
1.608,-0.269
1.61,-0.277
1.612,-0.277
1.614,-0.277
1.616,-0.277
1.618,-0.285
1.62,-0.285
1.622,-0.285
1.624,-0.285
1.626,-0.293
1.628,-0.293
1.63,-0.293
1.632,-0.293
1.634,-0.302
1.636,-0.302
1.638,-0.302
1.64,-0.302
1.642,-0.31
1.644,-0.31
1.646,-0.31
1.648,-0.31
1.65,-0.318
1.652,-0.318
1.654,-0.318
1.656,-0.318
1.658,-0.326
1.66,-0.326
1.662,-0.326
1.664,-0.326
1.666,-0.332
1.668,-0.332
1.67,-0.332
1.672,-0.332
1.674,-0.338
1.676,-0.338
1.678,-0.338
1.68,-0.338
1.682,-0.342
1.684,-0.342
1.686,-0.342
1.688,-0.342
1.69,-0.344
1.692,-0.344
1.694,-0.344
1.696,-0.344
1.698,-0.346
1.7,-0.346
1.702,-0.346
1.704,-0.346
1.706,-0.347
1.708,-0.347
1.71,-0.347
1.712,-0.347
1.714,-0.348
1.716,-0.348
1.718,-0.348
1.72,-0.348
1.722,-0.348
1.724,-0.348
1.726,-0.348
1.728,-0.348
1.73,-0.347
1.732,-0.347
1.734,-0.347
1.736,-0.347
1.738,-0.346
1.74,-0.346
1.742,-0.346
1.744,-0.346
1.746,-0.345
1.748,-0.345
1.75,-0.345
1.752,-0.345
1.754,-0.343
1.756,-0.343
1.758,-0.343
1.76,-0.343
1.762,-0.342
1.764,-0.342
1.766,-0.342
1.768,-0.342
1.77,-0.342
1.772,-0.342
1.774,-0.342
1.776,-0.342
1.778,-0.343
1.78,-0.343
1.782,-0.343
1.784,-0.343
1.786,-0.345
1.788,-0.345
1.79,-0.345
1.792,-0.345
1.794,-0.348
1.796,-0.348
1.798,-0.348
1.8,-0.348
1.802,-0.351
1.804,-0.351
1.806,-0.351
1.808,-0.351
1.81,-0.353
1.812,-0.353
1.814,-0.353
1.816,-0.353
1.818,-0.355
1.82,-0.355
1.822,-0.355
1.824,-0.355
1.826,-0.357
1.828,-0.357
1.83,-0.357
1.832,-0.357
1.834,-0.358
1.836,-0.358
1.838,-0.358
1.84,-0.358
1.842,-0.36
1.844,-0.36
1.846,-0.36
1.848,-0.36
1.85,-0.361
1.852,-0.361
1.854,-0.361
1.856,-0.361
1.858,-0.362
1.86,-0.362
1.862,-0.362
1.864,-0.362
1.866,-0.361
1.868,-0.361
1.87,-0.361
1.872,-0.361
1.874,-0.359
1.876,-0.359
1.878,-0.359
1.88,-0.359
1.882,-0.356
1.884,-0.356
1.886,-0.356
1.888,-0.356
1.89,-0.353
1.892,-0.353
1.894,-0.353
1.896,-0.353
1.898,-0.348
1.9,-0.348
1.902,-0.348
1.904,-0.348
1.906,-0.344
1.908,-0.344
1.91,-0.344
1.912,-0.344
1.914,-0.338
1.916,-0.338
1.918,-0.338
1.92,-0.338
1.922,-0.331
1.924,-0.331
1.926,-0.331
1.928,-0.331
1.93,-0.323
1.932,-0.323
1.934,-0.323
1.936,-0.323
1.938,-0.312
1.94,-0.312
1.942,-0.312
1.944,-0.312
1.946,-0.301
1.948,-0.301
1.95,-0.301
1.952,-0.301
1.954,-0.29
1.956,-0.29
1.958,-0.29
1.96,-0.29
1.962,-0.281
1.964,-0.281
1.966,-0.281
1.968,-0.281
1.97,-0.273
1.972,-0.273
1.974,-0.273
1.976,-0.273
1.978,-0.266
1.98,-0.266
1.982,-0.266
1.984,-0.266
1.986,-0.26
1.988,-0.26
1.99,-0.26
1.992,-0.26
1.994,-0.254
1.996,-0.254
1.998,-0.254
2,-0.254
2.002,-0.247
2.004,-0.247
2.006,-0.247
2.008,-0.247
2.01,-0.241
2.012,-0.241
2.014,-0.241
2.016,-0.241
2.018,-0.236
2.02,-0.236
2.022,-0.236
2.024,-0.236
2.026,-0.232
2.028,-0.232
2.03,-0.232
2.032,-0.232
2.034,-0.228
2.036,-0.228
2.038,-0.228
2.04,-0.228
2.042,-0.225
2.044,-0.225
2.046,-0.225
2.048,-0.225
2.05,-0.223
2.052,-0.223
2.054,-0.223
2.056,-0.223
2.058,-0.223
2.06,-0.223
2.062,-0.223
2.064,-0.223
2.066,-0.226
2.068,-0.226
2.07,-0.226
2.072,-0.226
2.074,-0.23
2.076,-0.23
2.078,-0.23
2.08,-0.23
2.082,-0.235
2.084,-0.235
2.086,-0.235
2.088,-0.235
